id,originalTitle,averageRating,isAdult,releaseDate,genres,grossWorldwide
tt23849204,12th Fail,8.7,False,2023-10-27,"['Biography', 'Drama']",138288.0
tt0079221,Gol Maal,8.5,False,1979-04-20,"['Comedy', 'Romance']",
tt0093603,Nayakan,8.6,False,1987-10-21,"['Crime', 'Drama']",
tt0367495,Anbe Sivam,8.6,False,2003-01-14,"['Adventure', 'Comedy', 'Drama']",
tt0052572,Apur Sansar,8.4,False,1960-10-04,['Drama'],134241.0
tt10534500,#Home,8.7,False,2021-08-19,"['Drama', 'Family']",
tt1187043,3 Idiots,8.4,False,2009-12-25,"['Comedy', 'Drama']",60262836.0
tt0214915,Manichitrathazhu,8.7,False,1993-12-24,"['Comedy', 'Horror', 'Mystery']",82307.0
tt8176054,Pariyerum Perumal,8.6,False,2018-09-28,['Drama'],
tt0237376,Kireedam,8.9,False,1989-07-07,"['Action', 'Drama']",181001.0
tt0353975,Sandesham,9.0,False,1991-10-30,"['Comedy', 'Drama']",
tt7466810,777 Charlie,8.7,False,2022-06-10,"['Adventure', 'Comedy', 'Drama']",7523995.0
tt39139925,Dhurandhar The Revenge,8.7,False,2026-03-19,"['Action', 'Crime', 'Thriller']",
tt8413338,Kumbalangi Nights,8.5,False,2019-02-21,"['Comedy', 'Drama', 'Romance']",1312005.0
tt0400234,Black Friday,8.4,False,2007-02-09,"['Crime', 'Drama', 'History']",1610897.0
tt7391996,C/o Kancharapalem,8.8,False,2018-09-06,['Drama'],
tt9263550,Rocketry: The Nambi Effect,8.6,False,2022-07-01,"['Biography', 'Drama']",398615.0
tt8948790,Jersey,8.5,False,2019-04-19,"['Drama', 'Sport']",204669.0
tt0986264,Taare Zameen Par,8.3,False,2007-12-21,"['Drama', 'Family']",21897373.0
tt7019842,96,8.5,False,2018-10-03,"['Drama', 'Romance']",616333.0
tt5311546,Natsamrat,8.8,False,2016-01-01,"['Drama', 'Family']",633.0
tt0282778,Nadodikkattu,8.8,False,1987-05-06,['Comedy'],
tt12361178,Drishyam 2,8.4,False,2021-02-19,"['Crime', 'Drama', 'Mystery']",3841.0
tt5074352,Dangal,8.3,False,2016-12-21,"['Action', 'Biography', 'Drama']",303726694.0
tt0249795,Maya Bazaar,9.0,False,1957-03-27,"['Comedy', 'Drama']",
tt4991384,Visaranai,8.4,False,2016-02-05,"['Crime', 'Drama', 'Thriller']",1943.0
tt10189514,Soorarai Pottru,8.6,False,2020-11-12,['Drama'],
tt20850406,Sita Ramam,8.5,False,2022-08-05,"['Action', 'Drama', 'Musical']",2208029.0
tt9900782,Kaithi,8.4,False,2019-10-24,"['Action', 'Crime', 'Thriller']",522938.0
tt26758372,Meiyazhagan,8.5,False,2024-09-27,"['Drama', 'Family']",393589.0
tt0101649,Thalapathi,8.5,False,1991-11-25,"['Action', 'Crime', 'Drama']",106000000.0
tt0376127,Anniyan,8.4,False,2005-06-17,"['Action', 'Crime', 'Drama']",
tt3417422,Drishyam,8.4,False,2013-12-19,"['Crime', 'Drama', 'Mystery']",13076265.0
tt0105575,Thevar Magan,8.7,False,1992-10-25,"['Action', 'Drama', 'Romance']",
tt9477520,Asuran,8.4,False,2019-10-03,"['Action', 'Drama']",379728.0
tt0311594,Nuvvu Naaku Nachchav,8.8,False,2001-09-06,"['Comedy', 'Romance']",
tt21626284,Laapataa Ladies,8.3,False,2024-03-01,"['Comedy', 'Drama']",108886.0
tt26548265,Maharaja,8.3,False,2024-06-13,"['Action', 'Crime', 'Drama']",975543.0
tt15097216,Jai Bhim,8.6,False,2021-11-02,"['Crime', 'Drama']",
tt5959980,Vada Chennai,8.4,False,2018-10-17,"['Action', 'Crime', 'Drama']",472865.0
tt10300570,Kadaisi Vivasayi,8.7,False,2022-02-11,['Drama'],5800.0
tt4987556,Thani Oruvan,8.4,False,2015-08-28,"['Action', 'Crime', 'Drama']",
tt0085743,Jaane Bhi Do Yaaro,8.3,False,1983-08-12,"['Comedy', 'Crime', 'Drama']",
tt11580854,Sarpatta parambarai,8.5,False,2021-07-22,"['Action', 'Drama', 'Sport']",
tt0466460,Khosla Ka Ghosla!,8.2,False,2006-09-22,"['Comedy', 'Crime', 'Drama']",40194.0
tt0048956,Aparajito,8.2,False,1956-10-11,['Drama'],134241.0
tt0291855,Devasuram,8.7,False,1993-04-14,"['Action', 'Crime', 'Drama']",
tt3668162,Bangalore Days,8.3,False,2014-05-30,"['Comedy', 'Drama', 'Romance']",180217.0
tt0195231,Satya,8.3,False,1998-07-03,"['Action', 'Crime', 'Drama']",
tt7060344,Ratsasan,8.3,False,2018-10-05,"['Crime', 'Drama', 'Mystery']",
tt4679210,Premam,8.3,False,2015-06-12,"['Comedy', 'Drama', 'Romance']",600000000.0
tt0242519,Hera Pheri,8.2,False,2000-03-31,"['Action', 'Comedy', 'Crime']",
tt0072783,Chupke Chupke,8.3,False,1975-04-11,"['Comedy', 'Drama', 'Romance']",
tt0214585,Chithram,8.7,False,1988-12-23,"['Comedy', 'Drama', 'Musical']",
tt0048473,Pather Panchali,8.2,False,1955-08-26,"['Drama', 'History']",135342.0
tt0057277,Mahanagar,8.3,False,1963-09-27,['Drama'],
tt10214826,Agent Sai Srinivasa Athreya,8.3,False,2019-06-20,"['Comedy', 'Crime', 'Mystery']",4454.0
tt0050870,Pyaasa,8.3,False,1957-02-19,"['Drama', 'Musical', 'Romance']",
tt2356180,Bhaag Milkha Bhaag,8.2,False,2013-07-12,"['Biography', 'Drama', 'Sport']",17551296.0
tt0220656,Mudhalvan,8.4,False,1999-11-07,"['Action', 'Drama', 'Thriller']",500000000.0
tt0059246,Guide,8.4,False,1965-02-06,"['Drama', 'Romance']",
tt1562872,Zindagi Na Milegi Dobara,8.2,False,2011-07-15,"['Comedy', 'Drama', 'Musical']",5192743.0
tt7738784,Peranbu,8.7,False,2019-01-31,"['Drama', 'Family']",3417.0
tt0255306,Kilukkam,8.7,False,1991-08-15,['Comedy'],
tt1954470,Gangs of Wasseypur,8.2,False,2012-06-22,"['Action', 'Comedy', 'Crime']",4384642.0
tt4430212,Drishyam,8.2,False,2015-07-31,"['Crime', 'Drama', 'Mystery']",
tt9052870,Chhichhore,8.3,False,2019-09-06,"['Comedy', 'Drama', 'Romance']",3311391.0
tt10280296,Sardar Udham,8.3,False,2021-10-16,"['Crime', 'Drama', 'History']",
tt0374887,Munna Bhai M.B.B.S.,8.2,False,2003-12-19,"['Comedy', 'Drama']",3137716.0
tt0063023,Goopy Gyne Bagha Byne,8.7,False,1969-05-08,"['Adventure', 'Comedy', 'Family']",
tt0292246,Spadikam,8.6,False,1995-03-30,"['Action', 'Drama']",62313.0
tt7465992,Mahanati,8.4,False,2018-05-08,"['Biography', 'Drama']",279078.0
tt0119385,Iruvar,8.4,False,1997-01-14,"['Biography', 'Drama']",
tt0367110,"Swades: We, the People",8.2,False,2004-12-17,"['Drama', 'Musical']",1953889.0
tt8108198,Andhadhun,8.2,False,2018-10-05,"['Crime', 'Mystery', 'Thriller']",62475342.0
tt33014583,Dhurandhar,8.3,False,2025-12-05,"['Action', 'Adventure', 'Crime']",137246897.0
tt0312859,Kannathil Muthamittal,8.3,False,2002-02-14,"['Action', 'Drama', 'Musical']",
tt4429128,Papanasam,8.4,False,2015-07-03,"['Crime', 'Drama', 'Mystery']",586973.0
tt6148156,Vikram Vedha,8.2,False,2017-07-21,"['Action', 'Crime', 'Drama']",546792.0
tt8239946,Tumbbad,8.2,False,2018-10-12,"['Drama', 'Fantasy', 'Horror']",1691980.0
tt13391710,Jana Gana Mana,8.3,False,2022-04-28,"['Drama', 'Thriller']",3135150.0
tt0140377,Michael Madana Kama Rajan,8.5,False,1990-10-17,['Comedy'],
tt5312232,Sairat,8.3,False,2016-04-29,"['Drama', 'Romance']",
tt2181831,Shahid,8.2,False,2013-10-18,"['Biography', 'Drama']",377803.0
tt0364647,Virumandi,8.4,False,2021-01-14,"['Action', 'Crime', 'Drama']",476950000.0
