id,imdb_id,title,release_date,runtime,budget,vote_average
278,tt0111161,The Shawshank Redemption,1994-09-23,142,25000000,8.717
238,tt0068646,The Godfather,1972-03-14,175,6000000,8.687
240,tt0071562,The Godfather Part II,1974-12-20,202,13000000,8.572
424,tt0108052,Schindler's List,1993-12-15,195,22000000,8.567
389,tt0050083,12 Angry Men,1957-04-10,97,397751,8.556
1181678,tt27391124,¿Quieres ser mi hijo?,2023-09-21,100,0,8.536
129,tt0245429,Spirited Away,2001-07-20,125,19000000,8.534
155,tt0468569,The Dark Knight,2008-07-16,152,185000000,8.528
19404,tt0112870,Dilwale Dulhania Le Jayenge,1995-10-20,190,13200000,8.517
497,tt0120689,The Green Mile,1999-12-10,189,60000000,8.505
122,tt0167260,The Lord of the Rings: The Return of the King,2003-12-17,201,94000000,8.494
496243,tt6751668,Parasite,2019-05-30,133,11363000,8.493
680,tt0110912,Pulp Fiction,1994-09-10,154,8000000,8.486
372058,tt5311514,Your Name.,2016-08-26,106,7500000,8.479
157336,tt0816692,Interstellar,2014-11-05,169,165000000,8.468
429,tt0060196,"The Good, the Bad and the Ugly",1966-12-23,161,1200000,8.468
13,tt0109830,Forrest Gump,1994-06-23,142,55000000,8.463
769,tt0099685,GoodFellas,1990-09-12,145,25000000,8.452
346,tt0047478,Seven Samurai,1954-04-26,207,2000000,8.451
12477,tt0095327,Grave of the Fireflies,1988-04-16,89,3700000,8.444
637,tt0118799,Life Is Beautiful,1997-12-20,116,20000000,8.44
550,tt0137523,Fight Club,1999-10-15,139,63000000,8.438
14537,tt0056058,Harakiri,1962-09-15,135,0,8.435
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,179,93000000,8.429
598,tt0317248,City of God,2002-08-30,129,3300000,8.4
11216,tt0095765,Cinema Paradiso,1988-11-17,124,5000000,8.424
40096,tt0271383,A Dog's Will,2000-09-15,104,0,8.42
667257,tt10032342,Impossible Things,2021-06-17,88,0,8.415
539,tt0054215,Psycho,1960-06-22,109,806947,8.415
