Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
TCS,3.3,(1.1L),10L,11.8k,3.6k,10.6k
Accenture,3.7,(72.6k),6.6L,9.3k,28.8k,6.7k
Wipro,3.6,(64.5k),4.8L,6.8k,394,4.6k
Cognizant,3.7,(60.8k),6L,6.4k,487,5.5k
Capgemini,3.7,(52.5k),4.8L,5.5k,2.6k,3.7k
HDFC Bank,3.8,(51.6k),1.5L,3k,372,3.2k
Infosys,3.5,(48.2k),5.2L,8.4k,2.2k,4.8k
ICICI Bank,4.0,(45.5k),1.5L,2.9k,15,3.7k
HCLTech,3.4,(45.4k),3.8L,4.5k,272,3.8k
Tech Mahindra,3.4,(42.9k),2.8L,4.5k,642,3.4k
Genpact,3.6,(41.6k),2.3L,3.8k,926,3.5k
TP,3.8,(37.7k),97.6k,2.2k,2.1k,1.8k
Jio,4.4,(33.5k),62.4k,4.3k,1,2.5k
Axis Bank,3.6,(32.8k),1L,1.9k,242,2.1k
Concentrix Corporation,3.6,(31.9k),1.3L,2k,35,3.1k
Amazon,3.9,(31.2k),1.5L,5.9k,2.2k,3.6k
Reliance Retail,3.9,(27.2k),77.2k,1.9k,124,1.8k
iEnergizer,4.6,(27.2k),24.3k,1.4k,76,430
LTIMindtree,3.6,(26.1k),1.9L,3.4k,413,777
IBM,3.9,(25.6k),2.1L,2.6k,3.1k,2.6k
HDB Financial Services,3.9,(25.4k),49.6k,1.1k,2.1k,1.5k
Larsen & Toubro Limited,3.9,(23.7k),75.1k,1.8k,127,2.5k
Deloitte,3.7,(22.9k),2.6L,3.3k,1.7k,2.4k
Kotak Mahindra Bank,3.6,(22.2k),87.1k,1.4k,163,1.3k
Reliance Industries,4.0,(20.1k),73.1k,1.6k,83,1.8k
Vodafone Idea,3.9,(17.5k),49.7k,687,72,2k
Bharti Airtel,3.8,(17k),49.3k,1.1k,202,1.6k
BYJU'S,3.2,(16.4k),53.1k,2.1k,1,1.7k
WNS,3.3,(15k),70.1k,1.2k,111,1.3k
IDFC FIRST Bank,3.9,(14.3k),49.3k,952,34,692
Ernst & Young,3.4,(14.3k),1.4L,1.3k,5.2k,1.1k
Tata Motors,4.1,(14.1k),42.7k,1.3k,159,1.6k
IndusInd Bank,3.4,(14.1k),51.7k,766,103,796
AU Small Finance Bank,3.9,(14.1k),29.5k,694,286,578
Muthoot FinCorp,4.6,(13.1k),9.2k,2.4k,36,275
Bajaj Finserv,4.0,(12.9k),30.6k,740,9,707
Flipkart,3.9,(12.8k),54.9k,1.7k,130,1.4k
PwC,3.3,(12.4k),1.2L,1.6k,1.1k,800
Mahindra & Mahindra,4.0,(12k),40.3k,859,2,1.2k
Infosys BPM,3.5,(11.9k),74.9k,1.1k,69,1.1k
HDFC Life,3.9,(11.9k),33.1k,798,103,613
DXC Technology,3.6,(11.9k),71.8k,898,196,1.1k
Bandhan Bank,3.7,(10.9k),24.6k,753,42,517
Digitide Solutions,3.5,(10.2k),26.7k,569,333,772
